"CROP_MASK","COUNTRY","ADM1_CODE","PROVINCE","YEAR","DATA","UNIT"
"Cropland","Ghana",1330,"Upper East","1996",0.00,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","1996",0.00,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","1996",0.53,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","1996",0.00,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","1995",0.00,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","1995",0.00,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","1995",0.55,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","1995",0.00,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","1995",0.00,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","1995",0.02,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","1995",0.02,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","1995",0.00,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","1995",0.08,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","1995",0.28,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","1994",10.07,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","1994",12.55,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","1994",37.91,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","1994",33.36,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","1994",0.24,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","1994",0.00,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","1994",0.00,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","1994",0.00,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","1994",2.71,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","1994",44.36,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","1993",0.01,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","1993",0.00,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","1993",14.44,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","1993",1.68,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","1993",7.60,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","1993",0.03,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","1993",0.00,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","1993",0.00,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","1993",0.62,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","1993",2.44,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","1992",0.01,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","1992",0.20,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","1992",0.58,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","1992",0.27,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","1992",4.89,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","1992",10.62,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","1992",0.04,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","1992",2.68,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","1992",5.45,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","1992",5.31,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","1991",0.00,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","1991",0.43,"VHI % below 35 "
"Cropland","Ghana",1326,"Central","1991",0.00,"VHI % below 35 "
"Cropland","Ghana",1327,"Eastern","1991",0.02,"VHI % below 35 "
"Cropland","Ghana",1328,"Greater Accra","1991",0.00,"VHI % below 35 "
"Cropland","Ghana",1329,"Northern","1991",2.86,"VHI % below 35 "
"Cropland","Ghana",1330,"Upper East","1991",25.14,"VHI % below 35 "
"Cropland","Ghana",1331,"Upper West","1991",17.02,"VHI % below 35 "
"Cropland","Ghana",1332,"Volta","1991",0.08,"VHI % below 35 "
"Cropland","Ghana",1333,"Western","1991",1.33,"VHI % below 35 "
"Cropland","Ghana",1324,"Ashanti","1990",3.69,"VHI % below 35 "
"Cropland","Ghana",1325,"Brong Ahafo","1990",2.09,"VHI % below 35 "
